ros_time,wall_time,cmd_vx,cmd_vy,cmd_wz,wheel_vx,wheel_vy,wheel_wz,icp_msg_age,icp_healthy,icp_frozen_count,icp_vx,icp_vy,icp_wz,icp_px,icp_py,icp_pyaw,icp_cov_xx,icp_cov_yy,icp_cov_aa,imu_wz,imu_cov,imu_msg_age,wheel_px,wheel_py,wheel_pyaw,amcl_px,amcl_py,amcl_pyaw,map2odom_x,map2odom_y,map2odom_yaw,particle_count,scan_valid_pts,scan_near_ratio,lf_mode,lf_error_deg,lf_center_count,lf_kanbujian,lf_vision_valid,lf_lane_tracks,lf_pair_valid,lf_pair_slope_diff,lf_half_width,lf_half_width_samples,lf_far_turn,lf_far_confidence,lf_far_points,lf_image_age,wz_sign_flip_event
1785480175.1694312,1785480175.1694648,0.24,0.0,-0.018034403186308508,0.2330026147194815,0.005283198822127776,-0.074946963466011,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.9373766181920355,-11.614275017423443,-1.9473712493377622,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-6.1,60,1,1,1,0,,230.8,0,normal,0.19,8,0.02,0
1785480175.2182043,1785480175.2182193,0.24,0.0,-0.16029486816781144,0.23300261471948147,-0.005283198822127776,-0.074946963466011,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.932843662133057,-11.625019061540645,-1.9511211747122954,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-11.7,61,1,1,1,0,,230.8,0,normal,0.167,7,0.03,0
1785480175.2664359,1785480175.2664568,0.24,0.0,-0.20865737683014549,0.2221652838022963,-0.005283198822127776,-0.074946963466011,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.9284734218130466,-11.63523860576532,-1.9548696574327284,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-17.9,63,1,1,1,0,,230.8,0,normal,0.19,8,0.02,0
1785480175.316632,1785480175.3166687,0.24,0.0,-0.2008729673657499,0.23300261471948147,0.005283198822127776,-0.12491160577668495,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.9243542351038936,-11.646135773969496,-1.9611134126380905,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-19.4,65,1,1,1,0,,230.8,0,normal,0.214,9,0.03,0
1785480175.3664405,1785480175.3664703,0.24,0.0,-0.2825520631057741,0.2330026147194815,0.005283198822127776,-0.074946963466011,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.920172269466628,-11.656993562784377,-1.9648550315657154,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-19.4,69,1,1,1,0,,230.8,0,normal,0.214,9,0.01,0
1785480175.4187174,1785480175.418753,0.24,0.0,-0.24507070342248966,0.2275839492608889,0.0,-0.14989392693202191,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.9157973702962976,-11.667515019611445,-1.972359984853949,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-23.0,72,1,1,1,0,,230.8,0,normal,0.214,9,0.01,0
1785480175.46829,1785480175.4682999,0.24,0.0,-0.31601278827027474,0.2275839492608889,0.0,-0.14989392693202191,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.9157973702962976,-11.667515019611445,-1.972359984853949,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-21.3,74,1,1,1,0,,230.8,0,normal,0.214,9,0.02,0
1785480175.516333,1785480175.5163505,0.24,0.0,-0.29869569291031955,0.22758394926088887,0.0,-0.24982321155336984,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.906877503410017,-11.688520853102567,-1.9974112939396864,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-20.7,78,1,1,1,0,,230.8,0,normal,0.238,10,0.0,0
1785480175.5667052,1785480175.5667386,0.24,0.0,-0.3262044847048032,0.22758394926088887,0.010566397644255552,-0.19985856924269588,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.9026798452954272,-11.699023728691833,-2.0073333345658972,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-26.6,79,1,1,1,0,,230.8,0,normal,0.262,11,0.02,0
1785480175.616695,1785480175.616726,0.24,0.0,-0.2887715365275648,0.23300261471948147,-0.005283198822127783,-0.27480553270870683,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.8974721732123443,-11.709555721552956,-2.0211868445462797,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-23.7,82,1,1,1,0,,230.8,0,normal,0.262,11,0.03,0
